Symbol,Date,Cumulative Return,moving_avg_10_day,moving_avg_100_day
C:EURUSD,2024-05-30,8.8249993787154382E-2,0.13321054913254854,-5.3688409607683701E-2
C:EURUSD,2024-05-31,8.5933293387050066E-2,0.14032163201740638,-0.05363056660647738
C:EURUSD,2024-06-02,0.13758825689694643,0.15062915397635734,-5.5504395471896201E-2
C:EURUSD,2024-06-03,0.26429161155644032,0.14013607508428691,-5.7378697594331105E-2
C:EURUSD,2024-06-04,0.2047615234445111,0.12325011804403019,-0.05963205283200354
C:EURUSD,2024-06-05,0.18692652000673843,0.11454081562212508,-6.1414872296829952E-2
C:EURUSD,2024-06-06,0.22815495108420872,9.3416042390921911E-2,-6.4180367137647035E-2
C:EURUSD,2024-06-07,5.3273064146920658E-2,8.9362507006705977E-2,-6.6919125411957756E-2
C:EURUSD,2024-06-09,-3.4744983473836331E-2,6.2748065044331017E-2,-6.6232843789567855E-2
C:EURUSD,2024-06-10,-6.9026074614874228E-2,1.5471913804385905E-2,-6.5071478543133554E-2
C:EURUSD,2024-06-11,-0.12299773852487851,-2.5990120197817389E-2,-6.2178903159133686E-2
C:EURUSD,2024-06-12,4.5397939544887779E-2,-5.7422691514360483E-2,-0.05843706941541351
C:EURUSD,2024-06-13,-0.12855616272680345,-9.2838938238811147E-2,-0.05394931259828209
C:EURUSD,2024-06-14,-0.20846990084301434,-0.10882140973566479,-4.9224370430889071E-2
C:EURUSD,2024-06-16,-0.20985881657752545,-0.12554528058583045,-4.5912378347151041E-2
C:EURUSD,2024-06-17,-0.12739919315869339,-0.14203748139598532,-4.1639276030833901E-2
C:EURUSD,2024-06-18,-0.12600751616029809,-0.15415169831535352,-3.8130924143742612E-2
C:EURUSD,2024-06-19,-0.10655165082161329,-0.17277476646610773,-3.4128101114442783E-2
C:EURUSD,2024-06-20,-0.20198369197549254,-0.17935320154741313,-2.9884915394063055E-2
C:EURUSD,2024-06-21,-0.23394808271642253,-0.18472689719538521,-2.7191813998297943E-2
C:EURUSD,2024-06-23,-0.24413990771856331,-0.18354562850508066,-2.4325856249104823E-2
C:EURUSD,2024-06-24,-0.14083274196265119,-0.18933627499979408,-2.2330298562720303E-2
C:EURUSD,2024-06-25,-0.19434051353985707,-0.19021656592655703,-1.9313315090583871E-2
C:EURUSD,2024-06-26,-0.26220685732273341,-0.19269507639036654,-1.6446876635802889E-2
C:EURUSD,2024-06-27,-0.1980461296744761,-0.18294339685160779,-1.3783115904586618E-2
C:EURUSD,2024-06-28,-0.18530565810582994,-0.16003512327662683,-9.175181959368962E-3
C:EURUSD,2024-06-30,-0.13481042542792784,-0.13159079173719448,-6.4018062347503367E-3
C:EURUSD,2024-07-01,-0.13133675545970983,-0.1070842986251673,-3.9977016924260152E-3
C:EURUSD,2024-07-02,-0.10446689658790637,-8.0099295049330971E-2,-2.7446963023920927E-3
C:EURUSD,2024-07-03,-4.8653469666132881E-3,-4.5238890745072521E-2,-1.3745765395953456E-3
C:EURUSD,2024-07-04,4.0303407675761259E-2,-0.02052392220967434,-4.0639887403605613E-4
C:EURUSD,2024-07-05,0.10423218915762118,7.2717884430055337E-3,1.4055837274194712E-3
C:EURUSD,2024-07-07,7.5509522218508207E-2,2.3058701095331615E-2,3.4176776727570988E-3
C:EURUSD,2024-07-08,8.6397185719848502E-2,0.04235813316471182,3.9760636974598773E-3
C:EURUSD,2024-07-09,4.9103555679503183E-2,6.3333137415085616E-2,5.0325096341552467E-3
C:EURUSD,2024-07-10,9.2651448420969243E-2,7.4699551478702261E-2,6.2212358193527136E-3
NDX,2023-02-22,0,-0.10693183526976791,1.2557305188419883
NDX,2023-02-24,-0.20018433355762683,-0.151057179714912,1.2795687188642872
